K,iter,CV_SUB,CV_CUBIC,MLE,SRP
10,0,0.4063683569764782,0.2141027002567883,0.9330703647004178,0.2125864335332235
10,1,0.4042877854203949,0.22282065128447326,0.6309251214402003,0.22154951277655172
10,2,0.8085597032071467,0.23634645045925745,0.7300942516451039,0.23578516891798246
10,3,0.5629537190476791,0.2241401602407679,1.1982253962692888,0.22360608518709632
10,4,0.3537602243672116,0.2047489864237932,0.6989048947701922,0.20352506584605465
10,5,0.46629980943879007,0.18848802693876607,1.1339484218677767,0.18891660858457776
10,6,0.48636779878329306,0.20603427038941344,0.7943123129846479,0.20516159651075583
10,7,0.36756410716598864,0.29562639243497396,1.0787436899230987,0.29201998831444564
10,8,0.3478580435927817,0.2838323087201186,0.9819981645715128,0.28404630239883144
10,9,0.3686168693856778,0.23185001667599017,1.3222927697707718,0.23301084103566827
20,0,0.12319904101115599,0.11581564626743084,0.6036526715748589,0.11670218219454
20,1,0.12224447456046136,0.11349129638861394,0.2390594611388488,0.1133204086003132
20,2,0.1273922888497424,0.11436347636628758,0.3478864256616011,0.11435243291062988
20,3,0.11162631166988572,0.10058157827390406,0.5435232933615655,0.10048948992910373
20,4,0.12190449736952101,0.11910136761528826,1.1735700230069732,0.11640829501899869
20,5,0.11739047128498914,0.10764116732480326,0.6231673299735702,0.1082137261334818
20,6,0.11707528175740121,0.1074449181868826,0.4824111826059635,0.1079545694844136
20,7,0.11252217122172015,0.10676779475919296,0.35496231929926925,0.10610035247428452
20,8,0.1328242081906778,0.12521384345895178,0.31817773885312317,0.12472972374153642
20,9,0.10603854123815831,0.10338307240536249,0.2594449045429944,0.10324712481122246
30,0,0.06909570319062586,0.06913738674414406,0.2626446116434099,0.06917850726797002
30,1,0.06313669407746564,0.06318777796842913,0.4281560781265131,0.06347696195625635
30,2,0.0716503524687708,0.07175591362166212,0.2380744708245061,0.07312130944028941
30,3,0.07009301096634127,0.06899827992984574,0.47205648155846663,0.06886858915352548
30,4,0.08953543453030886,0.08955498511997173,0.2962379226237428,0.08968184975947138
30,5,0.08216651044123974,0.08072706108975551,0.19180462187784697,0.08024390594156659
30,6,0.08612041779888703,0.08486163998845393,0.3032051314231061,0.08453762938296479
30,7,0.08871404482178104,0.08746484078644466,0.36933274844193276,0.08773123004438643
30,8,0.06757660836046277,0.06766484403848784,0.2708716751267977,0.06790156771683499
30,9,0.07988995033300354,0.07991269172910781,0.17568281604519434,0.07975987768608911
40,0,0.05043453719287872,0.050458545133962585,0.12338887400292217,0.050421630913781906
40,1,0.049635067085543674,0.04966092587245038,0.08217756423969645,0.04975204401034889
40,2,0.05049963489118097,0.05051660744102924,0.2324050605373686,0.05061100538712407
40,3,0.053827934013571915,0.05385192904765972,0.15218454819006388,0.05375903915053616
40,4,0.05783877765733846,0.057842024096209664,0.12250998573812667,0.05764014574853827
40,5,0.050784580222182296,0.05081091123493791,0.15228742466969436,0.05058461414853824
40,6,0.05538128935135403,0.05540378026243345,0.11197164482670041,0.05553063748585754
40,7,0.05554985262058344,0.05558314830263859,0.09566421260885963,0.055192557500017975
40,8,0.06521252825079701,0.06526603846751039,0.08555221256754136,0.06559864303914363
40,9,0.05450561741819848,0.05453401875620704,0.561452517099916,0.0545361537955356
50,0,0.041743174468631364,0.041762835616177746,0.08135494438126006,0.04187185914834661
50,1,0.04231446204863652,0.04232415439511027,0.08877936319775954,0.042296706609115185
50,2,0.039600602599673504,0.03953416619125963,0.08715960178019327,0.039542577497639286
50,3,0.040607559616520954,0.04061480187690599,0.08016687479211004,0.04067852993453365
50,4,0.043328794905709456,0.043340917920609706,0.10219725672554228,0.04341701535293903
50,5,0.048240550730208866,0.04824545762162892,0.07094528109198159,0.04833959481020792
50,6,0.04742016515307804,0.04702011146398989,0.21857957297339853,0.047100339729838674
50,7,0.045352967264346,0.045405670666322784,0.08976412777603314,0.04700350178226303
50,8,0.04558435046216191,0.045586568828334416,0.39948357233931553,0.045399351231505194
