K,CV_O,CV_E,CV_SRP
8,0.25337583874406056,0.25007348652258504,0.2500242120389463
16,0.147975622662533,0.14828114508737808,0.14839494856693758
32,0.07072539691811654,0.07074588396000547,0.07135782642467615
64,0.044599984280088614,0.044612091053024786,0.04461123090106642
128,0.017393204808535217,0.017395406106442482,0.01738905466978659
256,0.009785899639763777,0.00978573301918301,0.009794939056327261
