K,iter,CV_SUB,CV_CUBIC,MLE,SRP
10,0,0.18316080578268826,0.18616157525217375,0.7499857749281982,0.2043085208537864
20,0,0.08297056052654803,0.0837983404484496,0.5473678197814971,0.1125412485826574
30,0,0.05701674363466226,0.06470895988385475,0.21778954705457573,0.07337421112148122
40,0,0.04175825480983917,0.04403948994229638,0.24196813609294926,0.05917251975538302
50,0,0.03392246928821616,0.036698176453836585,0.09629098115156923,0.04136858674340904
60,0,0.028812989681949393,0.029543483525626742,0.09135115054995249,0.03649042952893586
70,0,0.0227938200747154,0.023887411914264942,0.06491167060304144,0.028639217054192194
80,0,0.019843702521937522,0.020314690809401053,0.13828382164953829,0.030828782482453902
90,0,0.016785000172674834,0.01752965716003319,0.1430630426137331,0.0273491758763573
100,0,0.01662625032859112,0.016708503839416206,0.036823672306355824,0.01993188140197625
110,0,0.016100001149879847,0.016673602080795963,0.02571651748123283,0.024318111367243322
120,0,0.013189370859882216,0.013629597572060448,0.04205906697243058,0.018148679554079703
130,0,0.012786188012822908,0.012959767644916707,0.042885705445629,0.016441058357408205
140,0,0.011830255183297023,0.011943990064708799,0.014678893056439182,0.014977845010813198
150,0,0.010291111408234391,0.010462119070415296,0.08231927524973949,0.01812289699227653
160,0,0.010066613071983943,0.010052036783501058,0.026802467561978943,0.012513545317206574
170,0,0.008844227146817497,0.00896252586814312,0.04996413811730896,0.014387151532926131
180,0,0.00853132327274761,0.00857497928166213,0.027469423955078866,0.011766187847616249
190,0,0.008612409404574538,0.00875838083826008,0.01722049145099067,0.011268446698112371
200,0,0.008085194402006364,0.008100600962576195,0.023031260545689325,0.010765056071194207
210,0,0.008313888869132134,0.008503466703079821,0.010713272242418212,0.011824011619464973
220,0,0.00798014613615377,0.008012539860762552,0.009227853887595573,0.010319159636674716
230,0,0.006977580865545218,0.00708020092956947,0.009476550644275659,0.009005804899641685
240,0,0.006913576845805409,0.007012995624402353,0.007432079724929012,0.008854158058737781
250,0,0.006001904336616995,0.006074620906203798,0.010864488554317245,0.008570450014988412
260,0,0.006061648496085999,0.0061639565028158375,0.00821160178824032,0.0077825158010815625
270,0,0.006028995250279549,0.006095445436271071,0.013029469928505892,0.008374618834331781
280,0,0.005902166202348297,0.0059594874964731875,0.00606770617330497,0.008491066361075729
290,0,0.005595220207440026,0.00569586924082497,0.006971331807376583,0.007303654217768124
300,0,0.00581887283163742,0.005876783560026182,0.006155694602333052,0.007239554168927671
310,0,0.005116703842752252,0.005175370318133431,0.00678114632551945,0.006762069840457312
320,0,0.005005085604602498,0.005108368552343322,0.008227496682282762,0.0075832398480383265
330,0,0.004667566751938134,0.004728311041794748,0.0050046471140379745,0.005709681031940911
340,0,0.004708688337305093,0.004733589625961523,0.00596119062266602,0.005997310058092588
350,0,0.004938347691812389,0.004898424985716355,0.004943061288757173,0.007613465111662646
360,0,0.004335742725208071,0.004358322721201449,0.005328557344788387,0.005963790417668303
370,0,0.00448605829286935,0.004502350214711443,0.004678281513982651,0.0060538163643937245
380,0,0.004709332909678968,0.004722848297173353,0.0047228466669473395,0.0071093804667944635
390,0,0.0047331954559244995,0.004693623052476441,0.004693620624194826,0.007707375042910314
400,0,0.0044156151295397265,0.004420743940379177,0.004449952301788878,0.007365784883011807
410,0,0.003935671087100744,0.003950274975865893,0.00416965083350705,0.00512299996666592
420,0,0.0038935702788346583,0.003981390349188399,0.005604968918631027,0.0060996068261798785
430,0,0.003973385560905871,0.003979506843351059,0.003979508442383423,0.005238582919610391
440,0,0.0035741912462673143,0.003611048240109361,0.004444623293611258,0.004779202258936784
450,0,0.0034717351544147038,0.003493117085323644,0.006198654268308459,0.005845366795880686
460,0,0.0037836943533618344,0.0037621254623935478,0.0037621268478748165,0.0050963948578635725
470,0,0.003428024797245992,0.0034512255385486753,0.0036095484639997373,0.004690780590667159
480,0,0.0035323828846725944,0.003571625583328925,0.0035716404811898753,0.004562307585569019
490,0,0.003288252116270458,0.0033185811415266486,0.003318582365719365,0.004091091882282215
500,0,0.0032846683021444507,0.0032859133683003834,0.0032859120980120535,0.004272356818281174
510,0,0.0030726953836433648,0.003091922605070789,0.0037050853998643546,0.004437698527787056
520,0,0.0029938566194048,0.0030305497790495757,0.0036685189808716373,0.0045644813344040075
530,0,0.0029762821859040407,0.002995543669255132,0.003139718020760218,0.003825219730077461
540,0,0.003182220826416525,0.003186569486743331,0.0031908821082039674,0.0043566777878886066
550,0,0.0031544375782418476,0.0031496507822013496,0.0031509536244691996,0.0041211420660209495
560,0,0.00288682676637621,0.002910957239374506,0.0033813945423022346,0.004187962660648785
570,0,0.0028855488757134453,0.0029190323724362834,0.0032855875974816136,0.004222707226715325
580,0,0.002847092943833429,0.002865062764707538,0.0028650628939212246,0.0038052027800234314
590,0,0.002830886099383506,0.0028508084983270097,0.0029441214008050737,0.0036767132502092395
600,0,0.002712373016557107,0.0027557244180283747,0.003034878038504273,0.003995682449520352
610,0,0.0025058079210257592,0.002522915307954075,0.002933863438001387,0.003734925593015511
620,0,0.0025828027725106465,0.0025969129232693696,0.0025969132209388754,0.0036261619342128257
630,0,0.0026728503364106516,0.0026706386411577887,0.00274374303028253,0.003605343718673012
640,0,0.0024668031080548394,0.0024886593834818165,0.0024887639391107624,0.00329727778742095
650,0,0.002499011867493653,0.002512375629596154,0.002512893389582165,0.0032604114210515334
660,0,0.002471481569249391,0.0025095523339366595,0.002552687513175795,0.003627089850396635
670,0,0.0024525371172625593,0.002469676022477343,0.002470886930523777,0.003353134593356312
680,0,0.0023247155431659703,0.002331237480007433,0.002515402799228845,0.0030150743791640885
690,0,0.0023024902188454517,0.002330174146134396,0.002463991391973252,0.003685280513116278
700,0,0.0022995180889481552,0.0023245646017362774,0.002459758757819336,0.003472610755596925
